text,images,compensation,link,address,date,type
CNC PROGRAMMER,,$22 TO $25 PER HOUR DOE,https://sfbay.craigslist.org/pen/egr/d/san-carlos-cnc-programmer/7004377893.html,"
        ,
We are a fabricator of quartz and solid surface materials used for countertops. We are seeking an individual to program and operate CNC equipment. Experience operating this type of equipment is a plus. Knowledge of Autocad software is desired. Knowledge of architectural drawings is required. We will train on specific processes. You must be detail oriented and have the ability to multitask. Organizational skills and the ability to plan your day a must. We are in the construction industry and are seeking a candidate who doesn’t mind getting his/her hands dirty. It is a ‘hands on’ position working both in the office and in the shop.,
,
We are looking for a team player who has the ability to be cross trained and are willing to help anywhere needed at times.    ",2019-10-21 20:51,full-time
R&D Engineer_Human Factors,,Up to US$0.00 per year,https://sfbay.craigslist.org/eby/egr/d/pleasanton-rd-engineerhuman-factors/7001865930.html,"
        ,

        ,
    ",2019-10-17 19:28,contract
Revit/AutoCAD Technician- Structural Engineering,,Very competitive compensation comensurate with qualifications and experence,https://sfbay.craigslist.org/sfc/egr/d/san-francisco-revit-autocad-technician/7002210820.html,"
        ,
OLMM Consulting Engineers is a reputable and award-winning structural engineering firm with offices in San Francisco and Oakland.  Our projects include airports, healthcare facilities, educational facilities, parking structures, multi-story housing, and office buildings.  We have been responsible for some of the most notable projects in San Francisco-Bay Area.  We have immediate opening for a Revit/AutoCAD draftsperson.,
,
Responsibilities include:,
,
-Preparation of structural drawings using Revit and AutoCAD,
-Coordination of work with project structural engineers,
-Assistance with developing and maintaining CAD standards.,
,
Position requires the following:,
,
-Training in Revit Structure and AutoCAD.,
-Experience in structural drafting of major steel, concrete, and wood frame building structures is a plus,
-Detail oriented,
-Reliable and ability to work well with others in a team environment,
-Good communication skills,
,
We offer:,
,
-Very competitive compensation and benefits including paid holidays, vacation, and sick leave, health insurance,
-Collaborative work environment and job stability,
-Excellent opportunity for growth,
-Challenging and exciting projects    ",2019-10-18 11:09,full-time
ARCHITECTURAL AS-BUILT SURVEYOR,,"Competitive, on project basis.",https://sfbay.craigslist.org/sfc/egr/d/san-francisco-architectural-as-built/7002269701.html,"
        ,
ARCHITECTURAL AS-BUILT SURVEYOR NEEDED in SF AREA. ,
,
1.	Prepare comprehensive existing-condition, architectural documentation fir residential and commercial properties, structures and interiors.,
,
2.	Perform on-site measurement using laser measuring tools directly-entered into AutoCAD for precise data acquisition and site condition reports delivered as a CAD file.,
,
3.	Prepare complete set of architectural drawings with precise dimensions and specifications of existing materials and finishes.,
,
4.	Organize Architectural drawings that include, but not limited to, Floor Plans, Elevations, Facades, Sections, Reflected Ceiling Plans and Photo Plans.,
,
5.	Perform As-Built Measuring and on-site drafting of Floor Plans, Reflected Ceiling Plans and Building Elevations / Sections.,
,
Steady work year round. Please email me your resume along with three (3) examples of your work. Thank you.,
,
,
,
,
    ",2019-10-18 12:21,contract
Cannon is hiring a Civil Project Engineer!,,DOE,https://sfbay.craigslist.org/eby/egr/d/irvine-cannon-is-hiring-civil-project/7001505037.html,"
        ,
, provides exciting opportunities for professional growth and outlets for team building. We strive to provide opportunity for personal growth and a balance between personal and professional life. Not only do we work together, but we also enjoy spending time together outside of work. We work hard. We play hard. We have fun.,
,
, we have provided creative solutions to clients in the energy industry, water resources, public infrastructure, and commercial and residential development. With offices throughout California, we continue to grow!  ,
,
, a , in our , office.  Located in Orange County, Irvine offers warm weather, beautiful scenery, and is one of the top bicycling cities in America with close to 300 miles of on-road bicycle lanes and 45 miles of mountain bike trails. It’s one of the safest communities in America and the public schools have consistently ranked among the best in California. ,
,
, Commercial * Residential * Mixed-Use Development.,
,
, Supporting civil engineering team members on a variety of tasks on a wide range of civil land development projects including residential, commercial, and mixed-use developments. For a detailed description on job duties, visit www.CannonCorp.us and click on “Careers”.,
,
, ,
,
•	Requires a Bachelor’s degree in Civil Engineering from an accredited college.,
•	Requires 2 - 4 years’ experience in civil engineering specifically pertaining to land development projects.,
•	EIT certification preferred.,
•	Knowledgeable with CE terminology, methods, and code principles.,
•	Able to demonstrate experience pertaining to civil land development engineering projects such as single-family and multifamily residential, commercial, office, government and/or public works projects. ,
•	Possess strong verbal and written communication skills and able to communicate effectively with team.,
•	Possess firm understanding of storm water management and erosion control Best Management Practices, their implementation and maintenance, and BMP design. ,
•	Able to utilize Civil 3D to provide plans, specifications, and estimates for a variety of civil land development projects such as residential , commercial- , and industrial-site development projects. ,
•	Working knowledge of HEC-RAS, HEC-HMS, SWWM, XP-STORM, Storm CAD, SewerCAD, and WaterCAD software highly desirable.,
•	Ability to work with multiple disciplines in highly dynamic environments.,
,
,
, competitive salaries, relocation assistance, an excellent benefits package, and an active and positive work environment.,
,
,
Submit your resume and cover letter on-line at the “Careers” section at www.CannonCorp.us. EOE/AA,
,
Or click on this link to apply – ,    ",2019-10-17 09:49,full-time
Takeoff Technician/Junior Estimator,,Based On Experience,https://sfbay.craigslist.org/sby/egr/d/san-jose-takeoff-technician-junior/7001551376.html,"
        ,
Takeoff Technician / Junior Estimator (san jose south)  ,
,
Leading South San Jose based Specialty Contractor of 34 years seeking a Takeoff Technician/ Junior Estimator to assist with the preparation of bid packages. The friendly and professional candidate will perform takeoffs accurately and in a timely manner using Bluebeam. This is a full time position (7:00 – 4:00) with room for advancement.,
,
 Qualifications:,
• Computer skills with proficiency in MS Office.,
• Experience in Bluebeam Revu and Procore, CAD familiarity a plus.,
• Proactive attitude, showing initiative and the ability to work independently.,
• Ability to work under pressure and adapt to changing job requirements,
• Strong communication skills, both written and verbal,
• Strong blueprint/ plan reading skills with the ability to meet deadlines.,
• Familiarity with Construction industry,
,
 Responsibilities:,
• Work with Senior Estimators, Project Managers and Field Personnel.,
• Provide takeoff support to Seattle office,
• Prepare takeoffs and obtain quotes for pricing,
• Assist Senior Estimator with proposals,
• Draft RFI’s and identify gaps in scope,
• Respond to all emails, telephone inquiries, and assist management as needed,
• Organize and hand over detailed takeoff package to Submittal team and review scope with Project Managers when job is awarded,
,
 Benefits:,
• Competitive Salary in an exciting and fun environment,
• Yearly Profit Sharing,
• 401K Plan with a 4% employer match,
• Excellent vacation plan with 12 paid holidays per year ,
• 48 Hours of sick pay per year,
• Family Health Care with monthly HSA contributions or Medical reimbursement,
• Exposure to the largest and most exciting projects in Northern California,
• Ideal South Bay location for easy commute    ",2019-10-17 10:44,full-time
Project Manager/Engineer,,TBD,https://sfbay.craigslist.org/nby/egr/d/novato-project-manager-engineer/7001621831.html,"
        ,
,
We are Public Works Construction Company in the SF Bay Area with an office in Novato.,
We are in search of a smart, hard working, eager person to join us and our management team.,
Prior Construction Management experience, school or skills is not required. We will teach you and you will learn mostly from on the job training - as that is the best way to learn.,
Some of our best people had no prior experience in construction but had the desire to work in a challenging field where no 2 days are the same, the pay is higher than average and opportunity for advancement is possible.,
Here is the thing though. You have to be a cool person - otherwise you won’t fit it. Any weird people simply won’t work as we work close yet independent of each other - so we are counting on you to perform.,
About school. Most if not all Public Work Contractors we know of require a degree of some kind - some with extra initials after them like MBA etc...We dont discourage degrees - but degrees are not required.,
We would prefer someone who is smart, hard working, eager and cool.,
You will have to be good with computers, people, aggressive is good, not afraid of people is better - but we can teach any eager person - anything you will need to know.,
The pay for this position is above average and pretty much up to your skill level.,
We are currently looking for someone who can assist with estimating and project management.,
Just imagine you can make good money, get on the job training and break into an industry that most people spend 4-5 years and 6 figures to do.,
Its your choice and is up to you....,
If you are not weird and this sounds good to you - reply back in 150 words or less why you would want to apply for this job that may turn into a lucrative career for you. Please send it in PDF format and have your name and phone number be the heading of the page.,
Also send in your resume... Thank you    ",2019-10-17 12:13,full-time
Project Architect/Manager,,DOE,https://sfbay.craigslist.org/sfc/egr/d/sausalito-project-architect-manager/7001548067.html,"
        ,
Aleck Wilson Architects is a highly regarded small firm with projects spanning the greater Bay Area. AWA is seeking a talented and design oriented Project Architect / Manager with residential experience. For the past 20 years, our firm has created beautifully designed and detailed single-family residences. With a devoted and growing client base, we are looking to add a dynamic and well-rounded individual to our team. ,
Please see our portfolio @ www.aleckwilsonarchitects.com.,
,
Within our studio, the Project Architect/Manager will have both design and management responsibilities and therefore successful candidates tend to be well-rounded individuals who enjoy variety in their work. We also look for individual strengths and how these might work well to compliment the current staff and offer opportunities for leadership.,
We have several large and exciting new homes on the boards and are looking for an experienced residential architect to join our team,
Healthcare, retirement matching, holidays and PTO,
,
Characteristics sought,
- Exceptional design abilities,
- Strong management skills of self and a small team,
- Excellent communication skills with principal, peers, consultants, contractors and especially       clients,
- Ability to multitask on several projects at one time,
- Willingness to take on various roles typical of a small firm,
- Proven mentorship capabilities,
,
Experience required,
- At least 3-10 years of professional work experience, primarily in high end residential and in all project phases: planning and design through construction administration,
- Bachelor or Masters (preferred) in Architecture ,
- Excellent AutoCad, Revit, Adobe Creative Suite, Sketchup and hand sketching skills,
- Experience managing small teams in design and documentation efforts,
- Knowledge of the CBC and SFBC, particularly in Type V residential construction ,
,
,
Please forward your cover letter, resume and samples of residential work in one PDF file. Please limit file size to 5 MB and type ""AWA Project Architect Position"" in the subject heading.,
    ",2019-10-17 10:40,full-time
Cannon is hiring a Civil Project Engineer!,,DOE,https://sfbay.craigslist.org/sby/egr/d/irvine-cannon-is-hiring-civil-project/7001506240.html,"
        ,
, provides exciting opportunities for professional growth and outlets for team building. We strive to provide opportunity for personal growth and a balance between personal and professional life. Not only do we work together, but we also enjoy spending time together outside of work. We work hard. We play hard. We have fun.,
,
, we have provided creative solutions to clients in the energy industry, water resources, public infrastructure, and commercial and residential development. With offices throughout California, we continue to grow!  ,
,
, a , in our , office.  Located in Orange County, Irvine offers warm weather, beautiful scenery, and is one of the top bicycling cities in America with close to 300 miles of on-road bicycle lanes and 45 miles of mountain bike trails. It’s one of the safest communities in America and the public schools have consistently ranked among the best in California. ,
,
, Commercial * Residential * Mixed-Use Development.,
,
, Supporting civil engineering team members on a variety of tasks on a wide range of civil land development projects including residential, commercial, and mixed-use developments. For a detailed description on job duties, visit www.CannonCorp.us and click on “Careers”.,
,
, ,
,
•	Requires a Bachelor’s degree in Civil Engineering from an accredited college.,
•	Requires 2 - 4 years’ experience in civil engineering specifically pertaining to land development projects.,
•	EIT certification preferred.,
•	Knowledgeable with CE terminology, methods, and code principles.,
•	Able to demonstrate experience pertaining to civil land development engineering projects such as single-family and multifamily residential, commercial, office, government and/or public works projects. ,
•	Possess strong verbal and written communication skills and able to communicate effectively with team.,
•	Possess firm understanding of storm water management and erosion control Best Management Practices, their implementation and maintenance, and BMP design. ,
•	Able to utilize Civil 3D to provide plans, specifications, and estimates for a variety of civil land development projects such as residential , commercial- , and industrial-site development projects. ,
•	Working knowledge of HEC-RAS, HEC-HMS, SWWM, XP-STORM, Storm CAD, SewerCAD, and WaterCAD software highly desirable.,
•	Ability to work with multiple disciplines in highly dynamic environments.,
,
,
, competitive salaries, relocation assistance, an excellent benefits package, and an active and positive work environment.,
,
,
Submit your resume and cover letter on-line at the “Careers” section at www.CannonCorp.us. EOE/AA,
,
Or click on this link to apply – ,    ",2019-10-17 09:51,full-time
DIGITAL MANUFACTURING PRODUCTION SPECIALIST FOR GROWING TECH COMPANY,,PayScale market rate salary + unlimited PTO + 50% health + auto 401k option,https://sfbay.craigslist.org/eby/egr/d/emeryville-digital-manufacturing/7001520263.html,"
        ,
,    ",2019-10-17 10:08,employee's choice
